ID,Date,Project_Code,Department,Location,Source,Review_Text,,
37,2/3/2024,PRJ-EPSILON,Construction,Rome,Site Report,Project is ahead of schedule. Great effort.,,
38,2/4/2024,PRJ-ALPHA,IT,Paris,Ticket,Internet speed is fantastic today.,,
39,2/5/2024,PRJ-GAMMA,Management,Kuala Lumpur,Quarterly Review,Excellent presentation to the stakeholders.,,
40,2/6/2024,PRJ-DELTA,HSE,Abu Dhabi,Audit,Emergency exit signs are missing.,,
41,2/7/2024,PRJ-BETA,Procurement,Houston,Email,Supplier is refusing to accept the return.,,
42,2/8/2024,PRJ-EPSILON,HR,Rome,Employee Feedback,Office temperature is too cold.,,
43,2/9/2024,PRJ-ALPHA,Engineering,Paris,Meeting Notes,Innovative solution proposed for the piping layout.,,
44,2/10/2024,PRJ-GAMMA,Construction,Kuala Lumpur,Site Report,Concrete mix ratio was incorrect. Wasted material.,,
45,2/11/2024,PRJ-DELTA,IT,Abu Dhabi,Ticket,Printer is jammed again.,,
46,2/12/2024,PRJ-BETA,Management,Houston,Email,Please expedite the approval process.,,
47,2/13/2024,PRJ-EPSILON,HSE,Rome,Site Report,Excellent housekeeping on the site.,,
48,2/14/2024,PRJ-ALPHA,Procurement,Paris,Email,Received damaged goods. Filing a claim.,,
49,2/15/2024,PRJ-GAMMA,Engineering,Kuala Lumpur,Internal Survey,I feel undervalued in this team.,,
50,2/16/2024,PRJ-DELTA,HR,Abu Dhabi,Employee Feedback,Great benefits package.,,
51,2/17/2024,PRJ-BETA,Construction,Houston,Site Report,Delay due to equipment breakdown.,,
52,2/18/2024,PRJ-EPSILON,IT,Rome,Ticket,System update corrupted my files.,,
53,2/19/2024,PRJ-ALPHA,Management,Paris,Quarterly Review,Profits are up by 10%.,,
54,2/20/2024,PRJ-GAMMA,HSE,Kuala Lumpur,Audit,Spill containment kit deployed correctly.,,
55,2/21/2024,PRJ-DELTA,Procurement,Abu Dhabi,Email,Best price on the market. Good find.,,
56,2/22/2024,PRJ-BETA,Engineering,Houston,Meeting Notes,Design review went poorly. Too many errors.,,
57,2/23/2024,PRJ-EPSILON,HR,Rome,Employee Feedback,Manager is very supportive.,,
58,2/24/2024,PRJ-ALPHA,Construction,Paris,Site Report,Site access road is blocked.,,
59,2/25/2024,PRJ-GAMMA,IT,Kuala Lumpur,Ticket,Wifi is spotty in the conference room.,,
60,2/26/2024,PRJ-DELTA,Management,Abu Dhabi,Email,Client threatened to cancel the contract.,,
61,2/27/2024,PRJ-BETA,HSE,Houston,Site Report,Workers are not wearing safety glasses.,,
62,2/28/2024,PRJ-EPSILON,Procurement,Rome,Email,Shipping documents are missing.,,
63,2/29/2024,PRJ-ALPHA,Engineering,Paris,Internal Survey,Workload is manageable and fair.,,
64,3/1/2024,PRJ-GAMMA,HR,Kuala Lumpur,Employee Feedback,Communication from leadership is unclear.,,
65,3/2/2024,PRJ-DELTA,Construction,Abu Dhabi,Site Report,Milestone achieved ahead of time.,,
66,3/3/2024,PRJ-BETA,IT,Houston,Ticket,New software is intuitive and easy to use.,,
67,3/4/2024,PRJ-EPSILON,Management,Rome,Quarterly Review,Cost overrun on the electrical package.,,
68,3/5/2024,PRJ-ALPHA,HSE,Paris,Audit,Documentation for hazardous materials is perfect.,,
69,3/6/2024,PRJ-GAMMA,Procurement,Kuala Lumpur,Email,Wrong items delivered.,,
70,3/7/2024,PRJ-DELTA,Engineering,Abu Dhabi,Meeting Notes,Structural integrity confirmed.,,
71,3/8/2024,PRJ-BETA,HR,Houston,Employee Feedback,I enjoy the team outings.,,
72,3/9/2024,PRJ-EPSILON,Construction,Rome,Site Report,Lack of skilled labor is slowing us down.,,
73,3/10/2024,PRJ-ALPHA,IT,Paris,Ticket,Server is down. Critical emergency.,,
74,3/11/2024,PRJ-GAMMA,Management,Kuala Lumpur,Email,Great leadership during the crisis.,,
75,3/12/2024,PRJ-DELTA,HSE,Abu Dhabi,Site Report,Near miss incident reported near the scaffolding.,,
76,3/13/2024,PRJ-BETA,Procurement,Houston,Email,Purchase order was rejected.,,
77,3/14/2024,PRJ-EPSILON,Engineering,Rome,Internal Survey,Tools are outdated.,,
78,3/15/2024,PRJ-ALPHA,HR,Paris,Employee Feedback,Salary is competitive.,,
79,3/16/2024,PRJ-GAMMA,Construction,Kuala Lumpur,Site Report,Quality of work is substandard.,,
80,3/17/2024,PRJ-DELTA,IT,Abu Dhabi,Ticket,Fast resolution to my problem. Thanks.,,
81,3/18/2024,PRJ-BETA,Management,Houston,Quarterly Review,Client satisfaction score is 9/10.,,
82,3/19/2024,PRJ-EPSILON,HSE,Rome,Audit,Safety culture needs improvement.,,
83,3/20/2024,PRJ-ALPHA,Procurement,Paris,Email,Long lead items ordered on time.,,
84,3/21/2024,PRJ-GAMMA,Engineering,Kuala Lumpur,Meeting Notes,The new design looks solid.,,
85,3/22/2024,PRJ-DELTA,HR,Abu Dhabi,Employee Feedback,Too much micromanagement.,,
86,3/23/2024,PRJ-BETA,Construction,Houston,Site Report,Weather conditions halted work.,,
87,3/24/2024,PRJ-EPSILON,IT,Rome,Ticket,Spam emails are flooding my inbox.,,
88,3/25/2024,PRJ-ALPHA,Management,Paris,Email,Please revise the budget proposal.,,
89,3/26/2024,PRJ-GAMMA,HSE,Kuala Lumpur,Site Report,Good usage of lockout/tagout procedures.,,
90,3/27/2024,PRJ-DELTA,Procurement,Abu Dhabi,Email,Supplier is unresponsive.,,
91,3/28/2024,PRJ-BETA,Engineering,Houston,Internal Survey,Proud to work on this project.,,
92,3/29/2024,PRJ-EPSILON,HR,Rome,Employee Feedback,Gym facilities are great.,,
93,3/30/2024,PRJ-ALPHA,Construction,Paris,Site Report,Scaffolding is unstable. Dangerous.,,
94,3/31/2024,PRJ-GAMMA,IT,Kuala Lumpur,Ticket,Software installation failed.,,
95,4/1/2024,PRJ-DELTA,Management,Abu Dhabi,Quarterly Review,Strategic goals met.,,
96,4/2/2024,PRJ-BETA,HSE,Houston,Audit,Fire alarm system is malfunctioning.,,
97,4/3/2024,PRJ-EPSILON,Procurement,Rome,Email,Excellent coordination with the vendor.,,
98,4/4/2024,PRJ-ALPHA,Engineering,Paris,Meeting Notes,Calculations verified and correct.,,
99,4/5/2024,PRJ-GAMMA,HR,Kuala Lumpur,Employee Feedback,Promotion process is opaque.,,
100,4/6/2024,PRJ-DELTA,Construction,Abu Dhabi,Site Report,Completion certificate signed. Success.,,
